10000 4 0
218      1931	2618	2297	2394
219      2314	83	85	84
220      2045	1350	2046	1808
221      2602	2463	1824	1747
222      1315	1732	1259	2352
223      1802	1991	1319	2442
224      1091	1455	2586	1699
225      2373	2191	2093	2356
226      2492	2092	2097	1849
227      2194	2149	2664	2034
228      1796	2310	2312	1431
229      786	438	363	2051
230      2030	2182	2082	2369
231      37		2398	2125	2177
232      401	2138	1081	1148
233      2209	2675	2057	2208
234      2591	2121	2120	2118
235      2379	2304	2472	2263
236      1592	899	602	2221
237      2569	2616	1738	2169
238      1399	694	415	39
239      2020	2439	2255	2416
240      2611	982	2579	373
241      1713	1166	2099	1980
242      1222	938	330	937
243      2026	2516	2694	2025
244      2254	895	1804	244
245      120	1162	1587	1852
246      1931	1815	1495	2394
247      1609	2401	2307	1608
248      2406	2530	2062	2124
249      2624	1460	1459	1289
250      2554	2705	702	2305
251      148	2456	2578	2523
252      2015	2416	971	1400
253      1503	354	956	110
254      331	2128	1188	2129
255      519	1204	380	2495
256      657	1867	549	1904
257      2411	1372	2414	2413
258      2455	256	1015	257
259      2060	2019	2419	717
260      2385	2078	2611	1171
261      1063	1667	1576	1611
262      205	2140	2048	207
263      2084	129	2282	1700
264      2525	2372	2312	2526
265      2343	2122	2028	2224
266      1523	1036	182	1037
267      1110	2308	2431	2415
268      107	109	1651	2086
269      1695	1696	430	1964
270      2159	1307	2158	16
271      2543	1829	1580	2089
272      2173	517	2723	8
273      2402	2374	2694	1617
274      2704	186	2403	187
275      2567	1473	2496	1585
276      2303	2206	2046	2204
277      2682	2043	2042	375
278      106	1012	1946	2589
279      1315	1314	2179	2352
280      2305	2533	2554	2555
281      1331	1655	2430	2261
282      1296	1802	1311	2260
283      2518	2078	2517	2213
284      972	2015	1789	2132
285      665	1351	1352	1382
286      2354	2597	2428	2429
287      2494	1332	2263	2023
288      2268	2335	2344	2562
289      2708	1642	2221	1706
290      2595	1595	2482	2596
291      2599	500	407	501
292      2045	1808	2046	2047
293      1053	562	1075	559
294      1106	2168	1421	2668
295      2112	2392	2111	2733
296      2267	2280	2278	2683
297      916	2264	2444	758
298      1714	1419	1718	2549
299      2261	1035	2731	1896
300      636	1257	463	464
301      1439	1910	1920	2600
302      2105	542	2068	1269
303      183	184	645	295
304      2423	2425	2424	389
305      2317	2318	1494	2319
306      2321	2203	2110	2517
307      1790	75	1967	800
308      369	370	2501	754
309      1949	1003	1227	2176
310      1274	2183	2222	192
311      2657	2191	1115	1727
312      2304	2493	2263	2494
313      1196	170	2341	1195
314      1382	1381	986	1857
315      1360	1408	2252	2014
316      2194	2147	2234	2034
317      1771	589	578	69
318      1011	1176	550	2486
319      2008	2010	2254	2011
320      448	2622	2200	2669
321      2217	2056	2057	2522
322      2675	2217	1118	2057
323      2147	1130	1132	1131
324      2011	2009	2300	2008
325      2204	2502	2601	1364
326      2105	542	1218	2144
327      2634	2025	2300	603
328      177	238	2625	2228
329      2366	853	321	2365
330      2631	181	1240	2583
331      1249	1250	1251	2121
332      1572	1573	492	2244
333      2150	2009	2234	172
334      126	105	2307	1608
335      2448	2522	2279	2278
336      489	1193	1576	2285
337      2602	2463	2384	1824
338      1141	672	2653	1595
339      1513	2341	438	1195
340      520	2495	381	2557
341      1761	2388	2653	113
342      1604	2306	1781	1782
343      2178	2179	526	1534
344      1451	1452	1450	1543
345      2721	1408	2012	2395
346      1060	2408	1410	2545
347      1184	2332	2289	2157
348      2537	1304	2504	2572
349      256	1015	752	2455
350      1688	331	2129	1449
351      2254	1804	1402	244
352      118	1286	2050	2519
353      2124	2398	2176	2177
354      2285	1784	489	1193
355      2247	119	1431	2310
356      1667	1721	1461	2339
357      282	284	647	2292
358      2342	1287	2507	1755
359      1951	1574	977	2000
360      1457	1405	2115	2564
361      2189	2261	2198	2428
362      2381	1297	2249	2734
363      208	2500	210	1066
364      677	1588	1587	2247
365      582	1820	1819	2351
366      2351	2185	2547	2350
367      1508	1486	2106	2340
368      2605	2647	2627	2540
369      2538	2539	2241	2483
370      273	2479	259	258
371      2626	1113	2385	1183
372      555	2327	1828	2660
373      354	1503	956	1502
374      2240	592	317	593
375      384	2575	2434	2638
376      2400	1631	2406	266
377      37		1546	2488	2125
378      2020	2416	2255	2019
379      490	492	2530	2487
380      2662	2210	2212	985
381      1787	165	1667	1658
382      2059	2366	631	2421
383      2150	243	2009	172
384      2434	384	382	2575
385      1067	75	1790	2500
386      2727	1403	1402	2050
387      2409	2210	2408	2094
388      1761	1882	2053	113
389      482	481	2337	483
390      792	608	1551	1927
391      333	332	1989	2084
392      1509	1510	77	2621
393      2270	514	675	2271
394      1184	2289	1299	2273
395      2715	2503	2446	2409
396      2057	915	1164	566
397      2050	2727	2051	1402
398      2392	2733	418	2111
399      1710	530	2524	2181
400      394	1465	1511	2615
401      619	620	2477	158
402      2378	55	2095	847
403      658	2498	911	73
404      1248	681	1233	2695
405      2554	2305	2228	2533
406      1774	559	2465	1053
407      1081	2137	2164	2127
408      1055	2556	1213	2373
409      1705	1484	1059	2148
410      2559	2060	2513	717
411      2448	2279	2532	2278
412      429	430	428	1696
413      2201	2402	376	1781
414      2079	2611	1113	2385
415      2574	2103	944	945
416      1764	2497	1566	2498
417      2401	2126	1325	1324
418      562	2	561	2448
419      350	938	937	330
420      2295	2108	2145	2209
421      2015	972	1400	971
422      890	799	387	2277
423      530	306	2524	312
424      1283	2338	1818	610
425      780	1770	1318	1881
426      2176	37	1687	1176
427      2488	2124	2568	2487
428      727	1571	539	2713
429      2358	31	32	46
430      2234	1816	173	2544
431      2122	2035	2123	2026
432      2027	2639	2512	2009
433      701	107	2085	2162
434      2699	2083	822	2016
435      2199	2257	2132	2728
436      104	106	750	749
437      2053	1882	2170	823
438      2184	2082	2369	2098
439      1947	1323	2674	269
440      2605	2647	2288	2071
441      1582	1022	1122	2520
