100000	4	0
1	20047	8990	22906	21348	
2	508	509	1939	25592	
3	20731	20732	20733	22407	
4	23985	13355	16292	16291	
5	20541	2101	9633	10706	
6	25991	16267	17603	2642	
7	25285	22898	22897	22017	
8	1280	1281	21819	22776	
9	23159	25905	24277	23158	
10	22444	8276	10952	21288	
11	21132	3115	3086	4366	
12	10687	26149	10686	26148	
13	4743	4742	4744	18479	
14	20733	25240	23277	23745	
15	23027	691	6988	6987	
16	7625	21278	21630	19661	
17	26111	22799	24952	24384	
18	19621	21326	5102	3960	
19	20029	20030	1736	7263	
20	20537	11251	18478	20538	
21	13884	6224	22390	13107	
22	3104	26238	12023	18072	
23	6566	15574	11244	20157	
24	19901	23187	25086	25695	
25	18732	26399	12772	18733	
26	20633	20488	24229	20362	
27	21268	21269	18081	18329	
28	15523	14074	7389	23376	
29	18948	9779	9778	664	
30	4837	17677	15476	19604	
31	23776	15289	4986	23777	
32	25776	18538	21569	22603	
33	18744	22228	19229	22229	
34	25294	21090	24380	20990	
35	1374	14001	12363	5432	
36	20827	20826	21516	19952	
37	19517	21215	1233	9050	
38	18021	18111	25142	18387	
39	23193	26394	7054	10762	
40	13518	8479	19458	2095	
41	2833	17855	5559	5558	
42	9419	8360	8358	20307	
43	22173	17217	11130	7345	
44	19034	19033	21259	21246	
45	14655	7221	11715	18947	
46	5704	113	87	177	
47	7970	302	4954	23621	
48	13920	22079	11050	1258	
49	5253	11597	19989	23752	
50	18208	23594	18210	23868	
51	25537	19477	15274	21955	
52	18508	6883	18342	6383	
53	25676	22815	22817	24024	
54	686	684	23846	23710	
55	18603	25769	18670	22248	
56	13313	2288	22663	2289	
57	20702	10323	4295	12206	
58	23929	1676	24628	22221	
59	20223	20111	19851	10728	
60	24662	11921	23370	4862	
61	23748	23680	23053	2887	
62	18287	13611	26025	14755	
63	25101	12676	17939	12347	
64	18149	10342	18852	8898	
65	21107	21943	21942	22686	
66	20854	23290	9768	20856	
67	11192	151	8053	21449	
68	24179	22283	3725	3726	
69	614	22511	15299	25657	
70	18025	15090	18288	21818	
71	6294	20628	20679	20677	
72	17930	22240	18685	23479	
73	26430	20214	19412	25097	
74	8005	12018	12019	18409	
75	22039	24428	7754	7755	
76	1228	13471	5328	16552	
77	24448	24125	24513	20567	
78	19146	25413	24005	18436	
79	2897	14359	2896	19711	
80	15143	2190	7621	19541	
81	17865	20472	17867	20471	
82	6835	6837	6836	19129	
83	12931	11798	14121	23225	
84	24623	24659	24056	24852	
85	16635	16166	25806	7837	
86	12108	13127	18785	18783	
87	23963	24724	25290	25298	
88	19912	22261	18746	19856	
89	23809	18817	21199	26122	
90	19707	17795	4466	8937	
91	21134	17140	15148	16991	
92	24372	26385	6002	4860	
93	26035	23556	23626	1701	
94	26133	8365	18468	8366	
95	17925	17924	20989	20990	
96	25648	25873	19117	22821	
97	21904	21938	18480	18481	
98	25466	26105	21089	21090	
99	4496	21861	22680	21687	
100	24202	12534	3388	10734	
101	5011	5013	5012	20846	
102	3976	17799	17335	18171	
103	11040	244	22628	246	
104	24618	21510	26100	21151	
105	18217	26305	3523	7649	
106	24906	3249	20003	23859	
107	7375	7376	17957	2841	
108	2065	25479	2064	18328	
109	24789	20214	25166	19413	
110	14524	23373	19370	25438	
111	25890	18823	21574	18595	
112	19075	24766	23663	17901	
113	22526	23091	16443	16792	
114	25900	811	14429	4591	
115	25241	17877	21013	24392	
116	1491	11893	16699	22666	
117	17647	17202	16774	22348	
118	24879	24005	13839	19146	
119	25726	21951	7237	21950	
120	26181	18392	21184	17871	
121	25483	15463	14297	15618	
122	6736	16052	4608	26373	
123	3123	16589	21768	9991	
124	40	13399	2180	22879	
125	6868	5730	5731	2276	
126	7499	25300	24058	8875	
127	18193	10905	9886	18194	
128	5817	16131	23068	22433	
129	23475	25680	18465	4263	
130	17899	8307	13403	25008	
131	11713	24580	23455	24423	
132	14722	16113	13555	25353	
133	19811	3194	13632	17132	
134	13236	22116	16952	21281	
135	5637	9837	5636	19916	
136	15806	5664	6286	3055	
137	19869	8304	7702	6686	
138	25844	24381	25466	24928	
139	18490	14266	10484	7919	
140	19702	24032	20129	20131	
141	19103	21077	19100	17352	
142	4862	11524	23370	24662	
143	20098	9704	4387	24909	
144	22516	25097	18916	23582	
145	18432	13597	22884	190	
146	25915	20779	7957	10032	
147	20176	10345	4721	20204	
148	21137	23373	24944	23374	
149	19328	18111	21432	20451	
150	10194	24046	18832	24048	
151	16202	11735	6615	20005	
152	17973	19922	17971	23975	
153	24008	23428	25934	24533	
154	25978	21130	22232	22394	
155	11025	11801	7460	22882	
156	20527	23652	25377	20528	
157	21524	18654	26324	20847	
158	24334	24654	7566	7567	
